sample,integrate_ns,proxies_ns,broadphase_ns,contacts_ns,solve_ns,pairs,contacts
150,5750,2417,2833,4375,354042,320,320
151,5791,2417,2833,4250,356875,320,320
152,5834,2416,2875,4250,355292,320,320
153,5750,2458,2833,4375,355125,320,320
154,5792,2416,2875,4292,357458,320,320
155,5750,2459,2791,4292,362583,320,320
156,5750,2459,2833,4000,359458,320,320
157,5750,2417,2875,4250,357041,320,320
158,5750,2458,2834,4083,354333,320,320
159,5792,2458,2834,4333,357083,320,320
160,5708,2459,2833,4042,354416,320,320
161,5709,2416,2834,4083,358167,320,320
162,5667,2458,2875,4042,354417,320,320
163,5666,2459,2791,4042,360250,320,320
164,5833,2459,2833,4292,354958,320,320
165,5750,2458,2833,4042,352208,320,320
166,5792,2458,2834,4333,353083,320,320
167,5667,2458,2833,4084,354166,320,320
168,5708,2417,2833,4375,354834,320,320
169,5791,2459,2791,4125,357959,320,320
170,5667,2458,2834,4041,356667,320,320
171,5708,2459,2833,4292,356833,320,320
172,5708,2458,2834,4083,353375,320,320
173,5750,2458,2834,4083,357167,320,320
174,5667,2458,2834,4125,354083,320,320
175,5708,2459,2791,4167,354167,320,320
176,5833,2458,2792,4250,358667,320,320
177,5667,2458,2834,4166,355667,320,320
178,5833,2417,2916,4209,352500,320,320
179,5750,2416,2834,4208,357458,320,320
180,5708,2417,2833,4375,353459,320,320
181,5750,2541,2875,4042,360708,320,320
182,5792,2458,2834,4250,355166,320,320
183,5708,2459,2791,4125,354875,320,320
184,5667,2458,2833,4125,355000,320,320
185,5834,2458,2917,4208,364958,320,320
186,5875,2542,2833,4292,355666,320,320
187,5750,2417,2792,4458,357750,320,320
188,5708,2417,2833,4125,360084,320,320
189,5750,2417,2917,4208,354958,320,320
190,5750,2459,2791,4334,354500,320,320
191,5750,2416,2834,4125,354875,320,320
192,5667,2417,2791,4250,361000,320,320
193,5584,2458,2833,4209,356083,320,320
194,5708,2458,2834,4083,354375,320,320
195,5708,2458,2834,4250,354875,320,320
196,5791,2459,2833,4333,355792,320,320
197,5750,2458,2833,4209,353125,320,320
198,5708,2417,2833,4333,354917,320,320
199,5791,2500,2834,4375,355125,320,320
200,5666,2417,2833,4375,356167,320,320
201,5666,2500,2875,4084,355166,320,320
202,5625,2542,2833,4333,356209,320,320
203,5750,2541,2792,4250,354792,320,320
204,5625,2458,2833,4250,356209,320,320
205,5708,2458,2834,4250,356333,320,320
206,5750,2416,2834,4083,353750,320,320
207,5625,2416,2875,4167,355458,320,320
208,5709,2458,2833,4167,358292,320,320
209,5750,2416,2875,4167,354750,320,320
210,5666,2459,2833,4042,355000,320,320
211,5667,2417,2875,4166,355125,320,320
212,5667,2541,2917,4292,358833,320,320
213,5833,2459,2833,4417,353750,320,320
214,5750,2458,2833,4542,355792,320,320
215,5709,2458,2792,4208,356542,320,320
216,5791,2459,2833,4333,353209,320,320
217,5791,2459,2833,4292,353250,320,320
218,5875,2416,2917,4083,355959,320,320
219,5792,2458,2834,4166,354625,320,320
220,5625,2458,2834,4041,356500,320,320
221,5708,2459,2833,4125,354083,320,320
222,5792,2458,2917,4417,354750,320,320
223,5708,2458,2834,4291,355084,320,320
224,5709,2458,2833,4292,358458,320,320
225,5750,2417,2791,4084,357000,320,320
226,5709,2416,2875,4292,353708,320,320
227,5709,2458,2833,4250,353250,320,320
228,5708,2500,2834,4458,354708,320,320
229,5709,2458,2833,4375,354500,320,320
230,5792,2417,2833,4333,353584,320,320
231,5708,2417,2833,4083,356042,320,320
232,5708,2459,2791,4334,355291,320,320
233,5750,2417,2833,7417,360417,320,320
234,5709,2458,2833,4042,356583,320,320
235,5709,2416,2834,4250,354708,320,320
236,5750,2417,2875,4291,353917,320,320
237,5750,2458,2875,4250,354708,320,320
238,5709,2416,2834,4291,362584,320,320
239,5750,2458,2833,4417,358500,320,320
240,5708,2459,2916,4250,354459,320,320
241,5750,2416,2834,4291,355834,320,320
242,5750,2541,2792,4375,358958,320,320
243,5709,2458,2958,4334,356541,320,320
244,5834,2541,2875,4084,357375,320,320
245,5667,2458,2834,4291,355167,320,320
246,5708,2458,2834,4125,356791,320,320
247,5792,2500,2833,4167,352458,320,320
248,5708,2459,2791,4292,355042,320,320
249,5667,2458,2875,4125,356459,320,320
250,5708,2458,2834,4291,352584,320,320
251,5833,2458,2834,4125,354875,320,320
252,5750,2458,2833,4084,354416,320,320
